Temperature;Binders_cumulant;Temperature;Binders_cumulant;Temperature;Binders_cumulant;;;;
0,1;0,666666667;0,1;0,659265698;0,1;0,666666667;;;;
0,2;0,660864422;0,2;0,666666667;0,2;0,666666667;;;;
0,3;0,666666667;0,3;0,663506268;0,3;0,666666667;;;;
0,4;0,666666667;0,4;0,666666667;0,4;0,666666667;;;;
0,5;0,666666667;0,5;0,666666667;0,5;0,666666667;;;;
0,6;0,666666667;0,6;0,666666667;0,6;0,666666666;;;;
0,7;0,666664065;0,7;0,666666646;0,7;0,666666662;;;;
0,8;0,666664065;0,8;0,666666467;0,8;0,666666651;;;;
0,9;0,666661488;0,9;0,666666152;0,9;0,666666614;;;;
1;0,666656405;1;0,666665526;1;0,66666651;;;;
1,1;0,66663938;1,1;0,666664035;1,1;0,666666329;;;;
1,2;0,666562005;1,2;0,666659907;1,2;0,666665974;;;;
1,3;0,66642938;1,3;0,66665507;1,3;0,666665206;;;;
1,4;0,666426255;1,4;0,666645052;1,4;0,666664548;;;;
1,5;0,666108639;1,5;0,666632651;1,5;0,666663239;;;;
1,55;0,666133013;1,55;0,66662728;1,55;0,666660647;;;;
1,574576271;0,6660564;1,574576271;0,666621561;1,574576271;0,666661389;;;;
1,599152542;0,665379195;1,599152542;0,666599309;1,599152542;0,66665887;;;;
1,623728814;0,6657359;1,623728814;0,666598436;1,623728814;0,666658779;;;;
1,648305085;0,665283423;1,648305085;0,666585266;1,648305085;0,666658472;;;;
1,672881356;0,665921513;1,672881356;0,666578322;1,672881356;0,666656922;;;;
1,697457627;0,665299037;1,697457627;0,666596124;1,697457627;0,666654774;;;;
1,722033898;0,665291213;1,722033898;0,666549588;1,722033898;0,666655598;;;;
1,746610169;0,664694045;1,746610169;0,666526756;1,746610169;0,666652127;;;;
1,771186441;0,662924662;1,771186441;0,666529054;1,771186441;0,666646178;;;;
1,795762712;0,663573145;1,795762712;0,666477385;1,795762712;0,66664461;;;;
1,820338983;0,663956151;1,820338983;0,666446261;1,820338983;0,666640293;;;;
1,844915254;0,661962369;1,844915254;0,666431624;1,844915254;0,666642285;;;;
1,869491525;0,660804083;1,869491525;0,666320307;1,869491525;0,666639592;;;;
1,894067797;0,659974394;1,894067797;0,666379452;1,894067797;0,666633293;;;;
1,918644068;0,6615214;1,918644068;0,666232964;1,918644068;0,666621198;;;;
1,943220339;0,659919114;1,943220339;0,666196328;1,943220339;0,666617272;;;;
1,96779661;0,657963568;1,96779661;0,666074719;1,96779661;0,66660254;;;;
1,992372881;0,660968419;1,992372881;0,665806491;1,992372881;0,666587971;;;;
2,016949153;0,657508996;2,016949153;0,665895296;2,016949153;0,666567649;;;;
2,041525424;0,654859127;2,041525424;0,665411167;2,041525424;0,666543627;;;;
2,066101695;0,653843024;2,066101695;0,66517924;2,066101695;0,666502513;;;;
2,090677966;0,646737858;2,090677966;0,664658954;2,090677966;0,666457153;;;;
2,115254237;0,649696948;2,115254237;0,664094952;2,115254237;0,666322352;;;;
2,139830508;0,639349593;2,139830508;0,662671921;2,139830508;0,666247586;;;;
2,16440678;0,640544993;2,16440678;0,659946255;2,16440678;0,666076801;;;;
2,188983051;0,627754918;2,188983051;0,657030731;2,188983051;0,665245037;;;;
2,213559322;0,627984916;2,213559322;0,650218509;2,213559322;0,663921077;;;;
2,238135593;0,623945889;2,238135593;0,63481085;2,238135593;0,659511669;;;;
