Temperature;Magnetization;;;;
0,1;1;0,1;1;0,1;1
0,2;1;0,2;1;0,2;1
0,3;1;0,3;1;0,3;1
0,4;1;0,4;1;0,4;1
0,5;1;0,5;1;0,5;1
0,6;1;0,6;1;0,6;0,999997917
0,7;0,9999;0,7;0,9999875;0,7;0,999975694
0,8;0,9999;0,8;0,99988125;0,8;0,999918056
0,9;0,9998;0,9;0,9997125;0,9;0,999711111
1;0,9996;1;0,9993125;1;0,999268056
1,1;0,9989;1,1;0,99868125;1,1;0,998393056
1,2;0,9969;1,2;0,99675;1,2;0,996981944
1,3;0,9927;1,3;0,9950125;1,3;0,994739583
1,4;0,9923;1,4;0,991125;1,4;0,991284722
1,5;0,9854;1,5;0,98636875;1,5;0,986620139
1,55;0,9844;1,55;0,98279375;1,55;0,983509722
1,574576271;0,981;1,574576271;0,9812625;1,574576271;0,981748611
1,599152542;0,977;1,599152542;0,9798625;1,599152542;0,979775
1,623728814;0,9771;1,623728814;0,97710625;1,623728814;0,977643056
1,648305085;0,9739;1,648305085;0,97635;1,648305085;0,975511806
1,672881356;0,9769;1,672881356;0,97348125;1,672881356;0,972908333
1,697457627;0,9706;1,697457627;0,9718875;1,697457627;0,970540972
1,722033898;0,9693;1,722033898;0,9674625;1,722033898;0,967299306
1,746610169;0,9643;1,746610169;0,963575;1,746610169;0,964893056
1,771186441;0,9539;1,771186441;0,96118125;1,771186441;0,960854861
1,795762712;0,9517;1,795762712;0,95535625;1,795762712;0,95741875
1,820338983;0,9515;1,820338983;0,95325625;1,820338983;0,953603472
1,844915254;0,9431;1,844915254;0,9494;1,844915254;0,949622917
1,869491525;0,9426;1,869491525;0,94310625;1,869491525;0,944630556
1,894067797;0,929;1,894067797;0,94108125;1,894067797;0,939476389
1,918644068;0,9352;1,918644068;0,93281875;1,918644068;0,933965278
1,943220339;0,922;1,943220339;0,9311625;1,943220339;0,928413194
1,96779661;0,9144;1,96779661;0,9207125;1,96779661;0,921747917
1,992372881;0,9252;1,992372881;0,91268125;1,992372881;0,913251389
2,016949153;0,9062;2,016949153;0,90558125;2,016949153;0,906077778
2,041525424;0,893;2,041525424;0,89738125;2,041525424;0,895496528
2,066101695;0,8932;2,066101695;0,88570625;2,066101695;0,886424306
2,090677966;0,8667;2,090677966;0,87081875;2,090677966;0,872934722
2,115254237;0,8707;2,115254237;0,8595625;2,115254237;0,858323611
2,139830508;0,8354;2,139830508;0,840575;2,139830508;0,84460625
2,16440678;0,8414;2,16440678;0,82419375;2,16440678;0,8255
2,188983051;0,8095;2,188983051;0,79408125;2,188983051;0,796528472
2,213559322;0,8042;2,213559322;0,75800625;2,213559322;0,764019444
2,238135593;0,7882;2,238135593;0,71343125;2,238135593;0,707886806
2,262711864;0,7795;2,262711864;0,657025;2,262711864;0,602435417
2,287288136;0,7667;2,287288136;0,5818375;2,287288136;0,400740972
2,311864407;0,7037;2,311864407;0,4694875;2,311864407;0,223111806
2,336440678;0,6853;2,336440678;0,41579375;2,336440678;0,15896875
2,361016949;0,6778;2,361016949;0,35191875;2,361016949;0,121061806
2,38559322;0,6619;2,38559322;0,26995;2,38559322;0,087209722
