Temperature,Magnetization;
0,1;1
0,2;1
0,3;1
0,4;1
0,5;1
0,6;0,999997917
0,7;0,999975694
0,8;0,999918056
0,9;0,999711111
1;0,999268056
1,1;0,998393056
1,2;0,996981944
1,3;0,994739583
1,4;0,991284722
1,5;0,986620139
1,55;0,983509722
1,574576271;0,981748611
1,599152542;0,979775
1,623728814;0,977643056
1,648305085;0,975511806
1,672881356;0,972908333
1,697457627;0,970540972
1,722033898;0,967299306
1,746610169;0,964893056
1,771186441;0,960854861
1,795762712;0,95741875
1,820338983;0,953603472
1,844915254;0,949622917
1,869491525;0,944630556
1,894067797;0,939476389
1,918644068;0,933965278
1,943220339;0,928413194
1,96779661;0,921747917
1,992372881;0,913251389
2,016949153;0,906077778
2,041525424;0,895496528
2,066101695;0,886424306
2,090677966;0,872934722
2,115254237;0,858323611
2,139830508;0,84460625
2,16440678;0,8255
2,188983051;0,796528472
2,213559322;0,764019444
2,238135593;0,707886806
2,262711864;0,602435417
2,287288136;0,400740972
2,311864407;0,223111806
2,336440678;0,15896875
2,361016949;0,121061806
2,38559322;0,087209722
2,410169492;0,079347917
2,434745763;0,073570833
2,459322034;0,0578375
2,483898305;0,055775
2,508474576;0,053610417
2,533050847;0,045292361
2,557627119;0,042225
2,58220339;0,040072917
2,606779661;0,044661806
2,631355932;0,035573611
2,655932203;0,035610417
2,680508475;0,034763194
2,705084746;0,027702778
2,729661017;0,032500694
2,754237288;0,028274306
2,778813559;0,028319444
2,803389831;0,025898611
2,827966102;0,027261111
2,852542373;0,025977083
2,877118644;0,027988194
2,901694915;0,023659028
2,926271186;0,024334028
2,950847458;0,022145139
2,975423729;0,023868056
3;0,022175694
3,1;0,019522917
3,2;0,019807639
3,3;0,01756875
3,4;0,016393056
3,5;0,016135417
3,6;0,0159125
3,7;0,015000694
3,8;0,015790972
3,9;0,013670833
4;0,014372917
4,1;0,012500694
4,2;0,012943056
4,3;0,013590972
4,4;0,013438889
4,5;0,014422222
4,6;0,010808333
4,7;0,012117361
4,8;0,011095139
4,9;0,011918056
5;0,011
5,1;0,011619444
5,2;0,012152083
5,3;0,009667361
5,4;0,010495139
5,5;0,010502778
5,6;0,009953472
5,7;0,0094
5,8;0,009704861
5,9;0,009992361
6;0,010059722
