Temperature;Magnetization
0,1;1
0,2;1
0,3;1
0,4;1
0,5;1
0,6;1
0,7;0,9999875
0,8;0,99988125
0,9;0,9997125
1;0,9993125
1,1;0,99868125
1,2;0,99675
1,3;0,9950125
1,4;0,991125
1,5;0,98636875
1,55;0,98279375
1,574576271;0,9812625
1,599152542;0,9798625
1,623728814;0,97710625
1,648305085;0,97635
1,672881356;0,97348125
1,697457627;0,9718875
1,722033898;0,9674625
1,746610169;0,963575
1,771186441;0,96118125
1,795762712;0,95535625
1,820338983;0,95325625
1,844915254;0,9494
1,869491525;0,94310625
1,894067797;0,94108125
1,918644068;0,93281875
1,943220339;0,9311625
1,96779661;0,9207125
1,992372881;0,91268125
2,016949153;0,90558125
2,041525424;0,89738125
2,066101695;0,88570625
2,090677966;0,87081875
2,115254237;0,8595625
2,139830508;0,840575
2,16440678;0,82419375
2,188983051;0,79408125
2,213559322;0,75800625
2,238135593;0,71343125
2,262711864;0,657025
2,287288136;0,5818375
2,311864407;0,4694875
2,336440678;0,41579375
2,361016949;0,35191875
2,38559322;0,26995
2,410169492;0,23911875
2,434745763;0,2041875
2,459322034;0,1734
2,483898305;0,16809375
2,508474576;0,16500625
2,533050847;0,13815
2,557627119;0,1326
2,58220339;0,12353125
2,606779661;0,124375
2,631355932;0,11055625
2,655932203;0,1112875
2,680508475;0,09820625
2,705084746;0,09580625
2,729661017;0,0900125
2,754237288;0,08473125
2,778813559;0,08945625
2,803389831;0,090725
2,827966102;0,08333125
2,852542373;0,07844375
2,877118644;0,0795875
2,901694915;0,07256875
2,926271186;0,07311875
2,950847458;0,0673625
2,975423729;0,06701875
3;0,0667875
3,1;0,06499375
3,2;0,0588625
3,3;0,05781875
3,4;0,05174375
3,5;0,04978125
3,6;0,04395
3,7;0,04499375
3,8;0,04781875
3,9;0,04295625
4;0,04189375
4,1;0,042025
4,2;0,03880625
4,3;0,0379375
4,4;0,03805
4,5;0,03635
4,6;0,037925
4,7;0,03399375
4,8;0,03415625
4,9;0,035475
5;0,03210625
5,1;0,02978125
5,2;0,03191875
5,3;0,0307
5,4;0,0317375
5,5;0,03148125
5,6;0,03335
5,7;0,03229375
5,8;0,02968125
5,9;0,03154375
6;0,0317
