Temperature;Specific_heat;;;;
0,1;0;0,1;0;0,1;0
0,2;0;0,2;0;0,2;0
0,3;0;0,3;0;0,3;0
0,4;0;0,4;0;0,4;0
0,5;0;0,5;0;0,5;0
0,6;0;0,6;0;0,6;0,000182407
0,7;0,006497959;0,7;0,000808163;0,7;0,001672336
0,8;0,004975;0,8;0,005480859;0,8;0,004179861
0,9;0,007822222;0,9;0,011579938;0,9;0,010844959
1;0,012544;1;0,020636;1;0,024359889
1,1;0,027490909;1,1;0,040160124;1,1;0,04454433
1,2;0,078663889;1,2;0,079374306;1,2;0,07187066
1,3;0,127914793;1,3;0,100193935;1,3;0,121113067
1,4;0,129369388;1,4;0,143779464;1,4;0,137687018
1,5;0,201244444;1,5;0,206352778;1,5;0,174908198
1,55;0,196087409;1,55;0,205523309;1,55;0,260372297
1,574576271;0,218770658;1,574576271;0,219207477;1,574576271;0,225834104
1,599152542;0,326914967;1,599152542;0,307696078;1,599152542;0,313535508
1,623728814;0,267603743;1,623728814;0,287481552;1,623728814;0,308553561
1,648305085;0,315128624;1,648305085;0,329784154;1,648305085;0,282339532
1,672881356;0,240513238;1,672881356;0,35602871;1,672881356;0,296675768
1,697457627;0,328110064;1,697457627;0,261864926;1,697457627;0,356470944
1,722033898;0,319566926;1,722033898;0,361127497;1,722033898;0,31445999
1,746610169;0,415780641;1,746610169;0,365810833;1,746610169;0,368913635
1,771186441;0,419229036;1,771186441;0,352430749;1,771186441;0,461183547
1,795762712;0,451494785;1,795762712;0,461385432;1,795762712;0,48501358
1,820338983;0,445669013;1,820338983;0,446982375;1,820338983;0,50626592
1,844915254;0,664305265;1,844915254;0,480973011;1,844915254;0,450805141
1,869491525;0,599255182;1,869491525;0,566403022;1,869491525;0,446592705
1,894067797;0,684777956;1,894067797;0,526874853;1,894067797;0,528260941
1,918644068;0,574368912;1,918644068;0,632967002;1,918644068;0,573947302
1,943220339;0,726839903;1,943220339;0,616124174;1,943220339;0,564848186
1,96779661;0,712933022;1,96779661;0,706630441;1,96779661;0,747513412
1,992372881;0,587043916;1,992372881;0,773435587;1,992372881;0,68692639
2,016949153;0,616089558;2,016949153;0,705678111;2,016949153;0,729609969
2,041525424;0,855689262;2,041525424;0,918058887;2,041525424;0,810018016
2,066101695;0,779704495;2,066101695;0,813536205;2,066101695;0,835481995
2,090677966;0,95536461;2,090677966;0,941632993;2,090677966;0,853844891
2,115254237;0,929167813;2,115254237;0,916287979;2,115254237;0,874826997
2,139830508;1,040573593;2,139830508;1,106125454;2,139830508;1,095904747
2,16440678;1,104500142;2,16440678;1,313025774;2,16440678;1,197550195
2,188983051;1,231473072;2,188983051;1,280830998;2,188983051;1,444811319
2,213559322;1,191769158;2,213559322;1,917711682;2,213559322;1,674099054
2,238135593;1,184987552;2,238135593;1,719873114;2,238135593;1,730695202
2,262711864;1,115888802;2,262711864;2,07062101;2,262711864;2,516446569
2,287288136;1,314463954;2,287288136;1,855490155;2,287288136;2,767412996
2,311864407;1,336700138;2,311864407;1,694712684;2,311864407;1,776431868
2,336440678;1,286393448;2,336440678;1,805291979;2,336440678;1,394585049
2,361016949;1,204201843;2,361016949;1,53555399;2,361016949;1,260236463
2,38559322;1,142418055;2,38559322;1,463465734;2,38559322;1,081114596
2,410169492;1,257498433;2,410169492;1,245449199;2,410169492;1,095633015
2,434745763;1,241621496;2,434745763;0,967266598;2,434745763;0,932035325
2,459322034;1,207195148;2,459322034;1,003160061;2,459322034;0,854060182
2,483898305;1,218071889;2,483898305;0,858444884;2,483898305;0,80742029
2,508474576;0,897985484;2,508474576;0,777819152;2,508474576;0,853242792
2,533050847;1,188947618;2,533050847;0,813995889;2,533050847;0,755371527
2,557627119;0,879798562;2,557627119;0,773047412;2,557627119;0,811084978
2,58220339;0,917606938;2,58220339;0,672379533;2,58220339;0,723250793
2,606779661;1,080143597;2,606779661;0,751831979;2,606779661;0,678957818
2,631355932;0,940510107;2,631355932;0,557572324;2,631355932;0,639532705
2,655932203;0,801533788;2,655932203;0,687668783;2,655932203;0,688933141
2,680508475;0,762408376;2,680508475;0,577324592;2,680508475;0,631596371
2,705084746;0,552950206;2,705084746;0,55233876;2,705084746;0,544318546
2,729661017;0,754226123;2,729661017;0,541261721;2,729661017;0,521054489
2,754237288;0,510307185;2,754237288;0,545363335;2,754237288;0,48037666
2,778813559;0,70659336;2,778813559;0,439963336;2,778813559;0,44663637
2,803389831;0,632345521;2,803389831;0,531507908;2,803389831;0,646788247
2,827966102;0,681334092;2,827966102;0,544334903;2,827966102;0,413811885
2,852542373;0,520390444;2,852542373;0,505444361;2,852542373;0,471372298
2,877118644;0,529762715;2,877118644;0,432991125;2,877118644;0,47027661
2,901694915;0,476351469;2,901694915;0,498959725;2,901694915;0,440709909
2,926271186;0,431673103;2,926271186;0,406864895;2,926271186;0,385924179
